stars,review_count,is_open,total_hours,Food,American (Traditional),Sandwiches,Nightlife,Bars,Fast Food,American (New),Burgers,Breakfast & Brunch,Pizza,Mexican,Seafood,Chinese,Italian,Delis,Cafes,Coffee & Tea,Chicken Wings,Desserts,Salad,RestaurantsTakeOut,RestaurantsDelivery,BusinessAcceptsCreditCards,OutdoorSeating,RestaurantsReservations,GoodForKids,WiFi,Caters,RestaurantsTableService,HappyHour,class
3.0,57,1,57.5,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1
3.0,45,1,59.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,4
4.5,55,1,40.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,-1,-1,4
3.5,97,1,73.5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,-1,-1,3
4.0,141,1,61.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
4.5,75,1,45.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,-1,-1,-1,-1,-1,0
2.0,6,0,79.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,-1,-1,-1,0
3.5,26,1,78.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,1,0,-1,-1,1,1,1
4.0,216,1,65.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,-1,-1,-1,4
4.0,19,0,77.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,-1,0,0
3.5,73,1,46.0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,-1,-1,-1,-1,3
1.0,6,1,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,-1,0,-1,-1,0
3.0,128,1,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,-1,0
2.5,125,0,93.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,-1,0
4.5,770,1,33.0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
2.5,20,0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,1,-1,-1,0
3.0,17,1,72.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,-1,0,-1,0
2.0,10,1,70.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,0
3.5,63,0,83.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,-1,0
4.0,7568,1,55.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,-1,-1,4
3.5,36,1,93.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,-1,-1,4
3.5,58,1,81.5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,-1,0,0,-1,4
3.5,32,1,88.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,1,-1,2
3.5,19,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,-1,-1,0
3.5,142,1,55.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,-1,0
2.5,38,1,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,2
3.0,20,1,49.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,1,-1,0,-1,-1,-1,-1,2
4.0,39,1,81.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,-1,-1,-1,0
3.0,44,1,70.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,-1,-1,1
2.5,11,1,70.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,-1,-1,4
3.0,19,0,63.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0
3.5,17,1,33.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,0,1,0,1
3.0,5,1,105.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,1,-1,1,1
4.5,68,1,105.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,-1,1,-1,-1,4
4.5,62,0,60.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,-1,1,-1,-1,4
3.0,44,0,80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,1,1,1,1,0
4.0,59,1,63.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,-1,-1,-1,1,-1,-1,-1,2
4.0,38,1,105.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0
4.5,29,1,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2
4.5,34,0,72.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,1,0,1,0,-1,4
3.0,29,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,-1,-1,-1,0
2.5,12,1,83.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-1,1,-1,-1,1
4.0,25,0,67.0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
4.0,12,0,57.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-1,0,0,1,0,1,0,-1,2
5.0,21,1,41.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,4
4.0,16,1,23.0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
3.5,16,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2
3.0,41,1,59.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,-1,1,1,1,0
4.0,31,0,44.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0
4.0,88,1,56.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,0,0,0,-1,0
3.5,132,1,51.5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,-1,0,-1,-1,-1,-1,-1,3
4.0,172,1,59.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,-1,1,1
4.5,5,1,63.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,-1,0
4.0,27,1,88.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,-1,0,-1,1,0,0,-1,-1,2
4.0,44,1,75.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,-1,1,0,0,4
3.5,53,0,74.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1
3.0,93,1,67.5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,-1,0,0,-1,-1,-1,-1,-1,3
3.5,15,0,32.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,-1,0,-1,-1,0
3.5,58,1,70.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,-1,1,-1,-1,0
4.0,20,0,0.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,-1,0,1,1,1
1.5,7,1,0.0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,-1,-1,-1,1,1,1
3.0,8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,-1,-1,0
4.0,65,1,78.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,-1,0,4
4.0,7,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,-1,-1,0,1,0,-1,0
3.5,64,1,76.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,-1,-1,-1,0
2.5,18,1,84.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,-1,-1,-1,-1,0
3.5,50,0,88.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,-1,0,4
4.0,20,1,35.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,-1,-1,-1,-1,4
3.0,380,1,79.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2
3.5,20,1,59.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,-1,0
4.0,25,0,38.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,-1,-1,-1,0
3.0,47,1,68.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,-1,0,1,-1,0
4.5,17,1,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-1,-1,0
3.5,47,1,84.0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,-1,-1,1,1,1
4.5,468,1,29.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2
2.5,8,0,72.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,-1,-1,0,-1,4
3.0,42,0,51.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0
4.0,20,1,89.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1
1.5,11,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,-1,-1,0
4.5,15,1,30.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,-1,1,-1,-1,0
4.0,9,1,57.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,-1,-1,-1,1,-1,-1,4
4.5,11,1,63.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,-1,1,-1,-1,0
4.0,72,1,73.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,2
4.0,59,1,62.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0
3.5,8,0,42.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,-1,0,-1,-1,4
3.0,209,1,68.5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,-1,1,-1,0,4
4.0,54,1,51.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,-1,-1,0,-1,0
3.5,153,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,-1,-1,-1,-1,0
2.5,20,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,-1,0,1,1,1
3.0,56,1,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,-1,-1,-1,-1,0
4.0,8,1,60.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,-1,-1,0
5.0,20,1,42.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,-1,1,0
4.5,52,0,60.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,-1,-1,-1,-1,3
2.0,9,0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,1,-1,-1,4
2.0,6,1,0.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
